"Panetta, Jimmy","$1,244,800"
"Pascrell, Bill Jr","$1,703,595"
"Paul, Rand","$598,094"
"Paulsen, Erik","$5,778,480"
"Payne, Donald M Jr","$538,431"
"Pearce, Steve",$0
"Pelosi, Nancy","$4,537,320"
"Perdue, David","$2,328,958"
"Perlmutter, Ed","$1,750,016"
"Perry, Scott","$1,469,281"
"Peters, Gary","$1,418,311"
"Peters, Scott","$2,660,918"
"Peterson, Collin","$1,425,449"
"Pingree, Chellie","$772,709"
"Pittenger, Robert","$1,126,156"
"Plaskett, Stacey","$359,180"
"Pocan, Mark","$1,099,658"
"Poe, Ted","$275,376"
"Poliquin, Bruce","$3,944,802"
"Polis, Jared","$200,168"
"Portman, Rob","$1,836,617"
"Posey, Bill","$924,990"
"Price, David","$918,539"
"Quigley, Mike","$1,328,975"
"Radewagen, Amata Coleman","$167,191"
"Raskin, Jamie","$1,164,007"
"Ratcliffe, John Lee","$748,186"
"Reed, Jack","$601,161"
"Reed, Tom","$3,440,004"
"Reichert, Dave","$421,051"
"Renacci, Jim","$4,522,306"
"Rice, Kathleen","$1,392,733"
"Rice, Tom","$1,560,587"
"Richmond, Cedric","$1,547,288"
"Risch, James E","$236,079"
"Roberts, Pat","$520,387"
"Roby, Martha","$2,559,440"
"Rochester, Lisa Blunt","$1,314,379"
"Rodgers, Cathy McMorris","$5,757,569"
"Roe, Phil","$358,034"
"Rogers, Hal","$865,597"
"Rogers, Mike D","$1,349,985"
"Rohrabacher, Dana","$2,747,619"
"Rokita, Todd","$2,386,095"
"Rooney, Francis","$1,264,233"
"Rooney, Tom","$224,667"
"Ros-Lehtinen, Ileana",$0
"Rosen, Jacky","$25,627,243"
"Roskam, Peter","$6,967,864"
"Ross, Dennis","$741,888"
"Rothfus, Keith J","$3,162,163"
"Rounds, Mike","$853,681"
"Rouzer, David","$1,562,001"
"Roybal-Allard, Lucille","$533,113"
"Royce, Ed","$1,577,573"
"Rubio, Marco","$2,846,650"
"Ruiz, Raul","$3,124,118"
"Ruppersberger, Dutch","$1,009,012"
"Rush, Bobby L","$386,313"
"Russell, Steven","$949,887"
"Rutherford, John","$805,304"
"Ryan, Paul","$7,701,946"
"Ryan, Tim","$1,597,050"
"Sanchez, Linda","$1,704,757"
"Sanders, Bernie","$10,693,249"
"Sanford, Mark","$756,180"
"Sarbanes, John","$910,190"
"Sasse, Ben","$973,995"
"Scalise, Steve","$13,180,265"
"Scanlon, Mary Gay","$1,932,952"
"Schakowsky, Jan","$1,552,223"
"Schatz, Brian","$1,012,485"
"Schiff, Adam","$6,250,005"
"Schneider, Brad","$4,363,338"
"Schrader, Kurt","$2,062,382"
"Schultz, Debbie Wasserman","$2,186,433"
"Schumer, Charles E","$928,489"
"Schweikert, David","$1,634,106"
"Scott, Austin","$818,128"
"Scott, Bobby","$644,424"
"Scott, David","$1,099,687"
"Scott, Tim","$1,539,623"
"Sensenbrenner, F James Jr","$354,460"
"Serrano, Jose E","$259,991"
"Sessions, Pete","$5,052,626"
"Sewell, Terri A","$1,782,861"
"Shaheen, Jeanne","$976,492"
"Shea-Porter, Carol","$225,963"
"Shelby, Richard C","$97,032"
"Sherman, Brad","$1,390,198"
"Shimkus, John M","$1,966,005"
"Shuster, Bill","$1,245,295"
"Simpson, Mike","$1,107,700"
"Sinema, Kyrsten","$22,197,141"
"Sires, Albio","$459,608"
"Smith, Adam","$1,414,017"
"Smith, Adrian","$1,219,588"
"Smith, Chris","$1,317,497"
"Smith, Jason","$1,980,376"
"Smith, Lamar","$563,771"
"Smith, Tina","$9,147,178"
"Smucker, Lloyd","$1,543,831"
"Soto, Darren","$1,502,939"
"Speier, Jackie","$950,656"
"Stabenow, Debbie","$13,218,756"
"Stefanik, Elise","$2,799,517"
"Stewart, Chris","$971,130"
"Stivers, Steve","$4,088,932"
"Sullivan, Dan","$1,330,396"
"Suozzi, Tom","$2,693,876"
"Swalwell, Eric","$3,074,114"
"Takano, Mark","$1,067,703"
"Taylor, Scott W","$4,010,406"
"Tenney, Claudia","$3,224,299"
"Tester, Jon","$18,467,933"
"Thompson, Bennie G","$1,013,590"
"Thompson, Glenn","$1,388,911"
"Thompson, Mike","$2,123,047"
"Thornberry, Mac","$1,372,108"
"Thune, John","$2,529,700"
"Tillis, Thom","$2,356,132"
"Tipton, Scott","$1,587,445"
"Titus, Dina","$742,770"
"Tonko, Paul","$1,338,047"
"Toomey, Pat","$2,993,935"
"Torres, Norma","$624,401"
"Trott, Dave","$167,686"
"Tsongas, Niki","$103,337"
"Turner, Michael R","$1,227,260"
"Udall, Tom","$889,201"
"Upton, Fred","$3,096,224"
"Valadao, David","$3,279,452"
"Van Hollen, Chris","$622,931"
"Vargas, Juan","$879,036"
"Veasey, Marc","$1,495,544"
"Vela, Filemon","$1,072,689"
"Velazquez, Nydia M","$1,001,145"
"Visclosky, Pete","$1,102,461"
"Wagner, Ann L","$3,046,756"
"Walberg, Tim","$2,166,545"
"Walden, Greg","$5,312,777"
"Walker, Mark","$1,311,406"
"Walorski, Jackie","$2,889,929"
"Walters, Mimi","$4,901,653"
"Walz, Tim","$101,568"
"Warner, Mark","$2,911,652"
"Warren, Elizabeth","$25,635,465"
"Waters, Maxine","$1,591,392"
"Weber, Randy","$776,543"
"Webster, Daniel","$603,084"
"Welch, Peter","$861,402"
"Wenstrup, Brad","$1,452,518"
"Westerman, Bruce","$1,610,554"
"Whitehouse, Sheldon","$5,089,173"
"Wicker, Roger","$6,107,154"
"Wild, Susan","$3,280,396"
"Williams, Roger","$1,638,559"
"Wilson, Frederica","$358,474"
"Wilson, Joe","$1,252,337"
"Wittman, Rob","$1,554,176"
"Womack, Steve","$1,203,446"
"Woodall, Rob","$1,237,369"
"Wyden, Ron","$1,573,010"
"Yarmuth, John A","$955,463"
"Yoder, Kevin","$4,578,199"
"Yoho, Ted","$911,781"
"Young, David","$2,759,712"
"Young, Don","$1,227,283"
"Young, Todd","$902,689"
"Zeldin, Lee","$4,447,149"
